Date,Close,Volume,Diff,Volatility
20100104,1.0645,0.5538,0.0075,0.0112
20100105,1.0798,1.2915,-0.0048,0.0169
20100106,1.1027,1.0659,0.0145,0.0181
20100107,1.0649,1.0323,-0.0333,0.0333
20100108,1.0738,0.6915,0.0012,0.0183
20100111,1.0416,0.9349,-0.0292,0.0317
20100112,1.0562,0.9046,0.0151,0.0176
20100113,1.0398,0.632,-0.0099,0.0112
20100114,1.0779,1.2585,0.0261,0.0385
20100115,1.0966,0.9461,0.012,0.0168
20100118,1.097,0.6232,0.0036,0.0214
20100119,1.0703,0.5754,-0.0318,0.0329
20100120,1.0837,0.9151,0.0134,0.017
20100121,1.1033,0.8109,0.0366,0.0366
20100122,1.07,1.1207,-0.0179,0.0321
20100125,1.0915,0.9855,0.0319,0.0404
20100126,1.056,0.8997,-0.0366,0.0402
20100127,1.0363,0.888,-0.0184,0.0209
20100128,1.0461,0.6654,0,0.0149
20100129,1.0149,1.0968,-0.02,0.0263
20100201,1.0059,1.1952,-0.0089,0.0255
20100202,0.9995,0.9378,-0.0228,0.0253
20100203,1.0062,0.7933,-0.0064,0.0217
20100204,1.0051,0.577,0.0013,0.0142
20100205,0.9716,1.2407,-0.0106,0.0185
20100208,0.9693,1.061,0.0013,0.0174
20100209,0.9865,0.8219,0.0174,0.0254
20100210,0.9794,0.6463,-0.0105,0.0157
20100211,0.9904,0.6594,0.0079,0.0119
20100212,0.9742,1.1374,-0.0222,0.0287
20100216,0.9828,0.3873,0.008,0.0147
20100217,1.0133,0.7023,0.0091,0.0194
20100218,1.0084,0.3668,-0.0051,0.0116
20100219,0.9893,0.5663,-0.0117,0.0234
20100222,1.0066,0.5896,0.0013,0.0104
20100223,0.9993,0.6426,-0.009,0.0233
20100224,0.9806,0.773,-0.0092,0.0145
20100225,0.9605,0.994,-0.0239,0.0318
20100226,0.9709,0.8164,0.0054,0.0203
20100302,1.0045,1.2439,0.0118,0.0237
20100303,1.0051,0.5212,0,0.013
20100304,0.9916,0.5603,-0.013,0.0208
20100305,1.0096,0.652,0.0157,0.0157
20100308,1.0234,1.0858,-0.0051,0.0089
20100309,1.023,0.68,-0.0013,0.0127
20100310,1.0202,0.6363,-0.0025,0.0115
20100311,1.0124,1.0981,-0.0152,0.0203
20100312,1.012,0.5637,0,0.0167
20100315,0.9988,0.7128,-0.0179,0.0243
20100316,0.9947,0.9364,-0.0039,0.0156
20100317,1.0367,1.2387,0.0337,0.035
20100318,1.0345,0.8758,0.0025,0.0151
20100319,1.0427,0.6137,0.0037,0.0112
20100322,1.0382,0.5292,-0.0025,0.0149
20100323,1.0477,0.5726,0.0025,0.0124
20100324,1.0593,0.9245,0.0049,0.0147
20100325,1.0579,0.558,0.0049,0.016
20100326,1.0579,0.6227,-0.0036,0.0158
20100329,1.0539,0.4663,0.0099,0.0185
20100330,1.0476,0.725,-0.0157,0.0206
20100331,1.0516,1.3033,0.0049,0.0258
20100401,1.0844,1.676,0.023,0.0254
